user,location,text,sentiment,probability
KarenBerrior,"Valledupar, Colombia","La tumbaron 🥳🥳🥳
#anonymous https://t.co/ThAklO1cmS",Positivo,65
PaulRincon10,"Barranquilla, Colombia",". #Anonymous se bajó estás tres página web en un día. 
1. Senado de la Republica
2. Ejército nacional
3. Presidenci… https://t.co/k1hmwgBiot",Positivo,66
JhonEdward92,Colombia,#SOSColombiaDDHH #ParoNacional4M #SOSColombiaNosEstanMatando #Anonymous #CHAMPIONSxESPN #DuqueAsesino… https://t.co/32MQhAFI7U,Positivo,64
Laura_MT16,Magic Shop ✨,"Tumbaron la pagina de la presidencia? 
#Anonymous https://t.co/KCx84Le7tG",Positivo,68
zaid527,colombia,Vamos de nuevo así la página de presidencia se le cante vamos a darle de baja cuántas veces sea nescesario para que… https://t.co/MrMwdo3K7d,Positivo,67
Lucas15626612,,"Comiencen a hackear todo y que las injusticias salgan a luz, expongan a los corruptos, somos parte de somos todos #Anonymous",Positivo,51
mauren_paez,,"#SOSColombiaDDHH 
PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS… https://t.co/wTmD7fdjD2",Positivo,67
MIGUELP77895620,,Yo soy #Anonymous,Positivo,58
ElAgente87,Peru,"#Anonymous ha hackeado la página oficial del gobierno de Colombia, ¡¡Gracias #AnonymousColombia!! Muchas gracias https://t.co/DTRMvRDdEG",Positivo,91
ocean94girl,,"@SARGENTOCHALA Zapateiro,dijo que en 24 horas restablecería el orden de la ciudad y no fue así. No puede con un pue… https://t.co/lfU6RqRdL2",Positivo,62
gisela_verona,"Valle del Cauca, Colombia","Los ojos del mundo entero en estos momentos está con nosotros, Gracias 🙏🏻 #Anonymous  #SOSColombiaDDHH y todas las… https://t.co/DuowpwA0VI",Positivo,89
melindrx,Pueblo lavanda,"#Anonymous acaben con icetex, todo bien 🥺👍🏼",Positivo,76
ALEX90427324,,¡MENSAJE DE ANONYMOUS A COLOMBIA Y ADVIERTE AL GOBIERNO! | PARO NACIONAL &gt;&gt; https://t.co/6yAbkftkxl via @YouTube… https://t.co/E6o9Cf9rui,Negativo,71
