user,location,text
KarenBerrior,"Valledupar, Colombia","La tumbaron 🥳🥳🥳
#anonymous https://t.co/ThAklO1cmS"
PaulRincon10,"Barranquilla, Colombia",". #Anonymous se bajó estás tres página web en un día. 
1. Senado de la Republica
2. Ejército nacional
3. Presidenci… https://t.co/k1hmwgBiot"
JhonEdward92,Colombia,#SOSColombiaDDHH #ParoNacional4M #SOSColombiaNosEstanMatando #Anonymous #CHAMPIONSxESPN #DuqueAsesino… https://t.co/32MQhAFI7U
Laura_MT16,Magic Shop ✨,"Tumbaron la pagina de la presidencia? 
#Anonymous https://t.co/KCx84Le7tG"
zaid527,colombia,Vamos de nuevo así la página de presidencia se le cante vamos a darle de baja cuántas veces sea nescesario para que… https://t.co/MrMwdo3K7d
Lucas15626612,,"Comiencen a hackear todo y que las injusticias salgan a luz, expongan a los corruptos, somos parte de somos todos #Anonymous"
mauren_paez,,"#SOSColombiaDDHH 
PETICIÓN NACIONAL PARA QUE #Anonymous TIRE EL PROGRAMA DE DUQUE A LAS 6:00PM Y MUESTRE LOS VIDEOS… https://t.co/wTmD7fdjD2"
MIGUELP77895620,,Yo soy #Anonymous
ElAgente87,Peru,"#Anonymous ha hackeado la página oficial del gobierno de Colombia, ¡¡Gracias #AnonymousColombia!! Muchas gracias https://t.co/DTRMvRDdEG"
ocean94girl,,"@SARGENTOCHALA Zapateiro,dijo que en 24 horas restablecería el orden de la ciudad y no fue así. No puede con un pue… https://t.co/lfU6RqRdL2"
gisela_verona,"Valle del Cauca, Colombia","Los ojos del mundo entero en estos momentos está con nosotros, Gracias 🙏🏻 #Anonymous  #SOSColombiaDDHH y todas las… https://t.co/DuowpwA0VI"
melindrx,Pueblo lavanda,"#Anonymous acaben con icetex, todo bien 🥺👍🏼"
ALEX90427324,,¡MENSAJE DE ANONYMOUS A COLOMBIA Y ADVIERTE AL GOBIERNO! | PARO NACIONAL &gt;&gt; https://t.co/6yAbkftkxl via @YouTube… https://t.co/E6o9Cf9rui
Pataco_pisao,"Aracataca, Colombia","Los héroes si existen , están detrás de #Anonymous. Virtualmente cae este NarcoGobierno
#ParoNacional4M 
#SOSColombiaDDHH"
AnonNewsPT,,"Cae página de Presidencia Duque-Uribe, caen los paracos violentos que masacran al pueblo!  

Caiu o site da preside… https://t.co/WJ8c4Eq4Bj"
ocean94girl,,"@Gu2Hail Zapateiro,dijo que en 24 horas restablecería el orden de la ciudad y no fue así. No puede con un pueblo qu… https://t.co/bnrkn2JXub"
mecca_tv,Colombia,"MARCHA DE MOTOCICLISTAS EN BOGOTA, en contra de la CORRUPCION, ver video completo, en: https://t.co/FUAcpngryC,… https://t.co/3bhJzyK4BL"
Jeffers01218884,,@Real_jagoDibuja Vaya coincidencia que después de #Anonymous después de amenazar al gobierno colombiano no transmit… https://t.co/fLOu98ejMQ
YourAnonNewsCL1,,"#OpColombia ¡ Aquí el trabajo está hecho, es #TangoDown en el mundo! Siguiente ... #ColombiaResiste #ColombiaSOS #OFFLINE #Anonymous"
YeidyMendez4,,"Déjenlos descubiertos, expongan todo, exhiban sus planes de humillación y robo... que sientan la pena, el miedo y l… https://t.co/IUNne5K0vZ"
whataboutthat8,,Que belleza! #Anonymous  #AnonymousColombia #ARMY #Senado #NosEstanMasacrando #NosEstanMatando https://t.co/bDPFcQJFtC
saravillan05,,"Vayan a ver las historias de @analuzsaso un gran activista  mexicana, es la mejor del mundo tiene todos mis respeto… https://t.co/Wzt4ZcXVxu"
anronaga,,"A ustedes les carga la página de la presidencia? 
Parece que alguien volvió hacer de las suyas 🇨🇴🇨🇴.
#ParoNacional4M
#Anonymous"
CarlosAndrss10,,"Si pudieron hackear la pagina del senado, la presidencia y los militares; ¿Por qué no aumentarle el IVA con la pagi… https://t.co/iN01M44Bvi"
CamilaV039,,#Anonymous me hace sentir un poco de alivio
jairo_acero_lml,Unknown ,No estamos solos en esta lucha #Anonymous #GraciasAnonymous https://t.co/UiZSteeUKj
Ocampo__01,,#Anonymous #AnonymousColombia A #Colombia le gustaría ver los archivos ocultos acerca del Genocida de Uribe
maria971201,,#Anonymous aun te espero en las noticias.
Santiago_jorl,Numero 4 privet drive ,"Se antoja que  #Anonymous le una arrastrada al AMLO al Marcelo y todos los que según nos están gobernando “bien”, y… https://t.co/uPzr5VFGIV"
suramericavzla,Mayami 😁,Ante la incompetencia de este arlequín de los #EEUU todos a las Naciones Unidas / Neymar Paulo Gustavo Madrid Pablo… https://t.co/uAkmq2ty0U
Ximena_Pardo1,"Bogotá, D.C., Colombia",#Colombia página de la Presidencia de la República es tumbada #Anonymous
EquidQuimera,"Bogotá, D.C., Colombia","Hey colombia 
No sean mezquinos  pidiendo borrar deudas
Eso ya es situación personal de cada uno.
Sin ánimo de ofen… https://t.co/pIErtYXQ4R"
SalgadoArgel,,Ya van 3 en un solo día #DuqueAsesino #Anonymous #opcolombia https://t.co/BMRVjmYSRA
DuvianMunoz,,"son unos ingenuos @AnonymousOpCOL  vamos con toda a tumbar esa página marca 

#Anonymous 
#AnonymousColombia https://t.co/k7XnBtfTVv"
ocean94girl,,"#SOSColombiaDDHH  #SOSColombiaNosEstanMatando  #ParoNacional4M  #Anonymous  #CHAMPIONSxESPN  
Minuto de silencio en… https://t.co/2jMMPsKjrf"
Mysty_mapachoso,,@Citytv Se le hace chiquita si se entero que #Anonymous se involucró
chuchin_1989,,Seria una lástima que también hackearan la página del datacredito y de la fiscalía. ( Guiño guiño) #Anonymous
ocean94girl,,"@DanielSamperO Y no van a frenar, en estos momentos en Siloe ya están dando bala y ya el alcalde de vijes salió a d… https://t.co/VyznvY4C1q"
Isleny03958187,,Hoy no los rendiremos NO 'T TODAY desde #honduras #ArmysColombiaSOS las amo estaran bien #ApoyoAlEsmad #Anonymous #ARMYCOLOMBIASOS
geriron85,Bogota,@CaracolRadio #Anonymous debería de hacer caer todos los medios de comunicación q hacen parte del sistema corrupto… https://t.co/nUF2awdIdA
Lucascapponi_,"Hurlingham, Argentina","Otra vez con esta boludez? Paren esa máquina de humo.
#Anonymous https://t.co/sNPmT7kazG"
Ocampo__01,,#Anonymous MIL GRACIAS EN ESTO NO ESTAMOS SOLOS 🇦🇲💪🏼 https://t.co/RHivj0dZGk
Atsuko_Lilith,"Envigado, Colombia","COLOMBIA DESPERTÓ!
#SOSColombiaDDHH #SOSColombiaNosEstanMatando #NosEstanMatando #Anonymous #ParoNacional… https://t.co/KbTtfAGbWj"
CSarahelen, Colombia,#Anonymous debería intervenir en prevención y acción y colocar los vídeos de la masacre de los militares.
Jeimisanchez4,,#Anonymous Y SI MEJOR TIRAS  EL PROGRAMA DE DUQUE Y MUESTRAS AL MUNDO LOS VIDEOS DE ABUSO POLICIAL EN #Colombia 💛💙❤… https://t.co/K4LtmMp5Vz
cesardque,cali-colombia,"#Anonymous
cierren las cuentas de el paraco de Uribe y de el presidente"
Andrea02Cp,,"Cada vez que #Anonymous hace un tweet: 
🥺 https://t.co/qx6jykAzJV"
AceKarito,,HACKEARON LA PAGINA DE LA PRESIDENCIA DE LA REPUBLICA  #Anonymous
JuanLombana_,"Cartagena, Colombia",Esperando que #Anonymous tumbe Caracol y Rcn 🕯️🕯️🕯️
Juandi2341,,#Anonymous será que pueden también hackear revista semana? Son la propaganda del uribismo
LuisVillacobRz,"Barranquilla, Colombia",#Anonymous borra la deuda con el icetex 🙏🏼
