user,location,text
vickyanq,,"ASÍ NO SEAN DE COLOMBIA, COPIEN Y PEGUEN
 @ONU_es
@onucolombia 
@ONU_derechos
@CIDH
@CNNEE
@cnnbrk
@ajplusespanol… https://t.co/obqYMU12aT"
MamerDread,,"El gobierno inservible y narco paramilitarmatando y desapareciendo personas.

#SOSColombia
#SOSColombiaDDHH https://t.co/4cCQwqNCmq"
El_CorruptoSoy,𝔼𝕃 𝕄𝕌ℕ𝔻𝕆,"Uniformados de la @PoliciaColombia ya expresan descontento por Altos Mandos Politizados. 
No más inocentes muertos,… https://t.co/6JhFkuThdk"
MolinaNana8712,"Bogotá, D.C., Colombia","El apoyo al pueblo es grande!!!
#SOSColombiaDDHH 
#SOSColombiaNosEstanMatando 
#SOSColombia
#SOSColombiaEnDictadura https://t.co/T9m4V2xP1b"
Purpose_Kat,,"⚠️DIFUNDIR⚠️
Estos son links de cuentas en Instagram que están transmitiendo en este momento lo que esta pasando en… https://t.co/oERwu2Nw1y"
Patoluisangara,"Itagui, Colombia","Hago vital los siguientes hastags ⬇️⬇️⬇️⬇️

#sos
#nosestanmatando #nosestánmasacrando #soscolombiaddhh… https://t.co/jG9r595VUj"
NanisPerea,,Ellos// los jóvenes #soscolombiaddhh #SOSColombia #NosEstanMatando https://t.co/FqPNmtvrUB
girlsskyscraper,"Cartagena, Colombia",Las cosas como son!!!!! #SOSColombiaDDHH #NosEstanMatando #NosEstanMasacrando #NosEstanAsesinando https://t.co/db5SyMZj51
AAndres0515,Cali ,Nos están matando! #SOSColombiaDDHH
TristanHerth,Colombia,"Gracias Ivan Duque unir a Colombia en su contra. Cerdo.

#SOSColombiaDDHH"
Kaossman8bm,,"Meditaba, malditos miserables de #EsmadAsesinoYViolador #SOSColombiaDDHH #maythe4thbewithyou #UribeDioLaOrden… https://t.co/8uMkIszRO2"
Stephan83304563,,"ASÍ NO SEAN DE COLOMBIA, COPIEN Y PEGUEN
S.O.S COLOMBIA 🇨🇴
#SOSColombiaDDHH
#SOSColombia
@ONUHumanRights… https://t.co/60iCLNtBpK"
yeonscenary,🇨🇴 (ES/ENG),".@ONU_derechos: Firma para que la @CIDH judicialice a Ivan Duque, por crímenes de lesa humanidad #SOSColombiaDDHH… https://t.co/HssWFEgiE0"
saf4ry_,Medellín,"@Rubiu5 IN COLOMBIA, THE GOVERNMENT IS KILLING US 🇨🇴Bandera de ColombiaBandera de Colombia🇨🇴
#SOSColombiaDDHH… https://t.co/hutgURwCVW"
willy_araujor,,"https://t.co/VV0XB7yXoH
Petro la tiene clara, le cabe el país en la cabeza, él si es un verdadero estadista. Que pe… https://t.co/GfX2Gf5NRY"
CristianGalvn08,,"Guardiola es el mejor técnico del mundo y no pienso discutirlo.

Por otro lado, en Colombia hay una dictadura insta… https://t.co/Rq0O04Xyfe"
preso1087985,,SUPERMERCADOS EURO ESTÁ VACIANDO LOS ESTANTES Y ESCONDIENDO LA COMIDA. ¿QUÉ TRAMAN? #SOSColombiaNosEstanMatando… https://t.co/kACjaRqM1i
steffygalavis,colombia,.@ONU_es: Intervenga YA para detener las violaciones a los derechos humanos promovida por el Gobierno Colombiano… https://t.co/xO9rB39PcK
JorgeVa94001017,,"#SOSColombiaDDHH #FuerzaCOLOMBIA #ColombiaSOS #CaliResiste
Díganme si esto es verdad acaban de decir esto en caraco… https://t.co/gJ6xSEFZJu"
callmeojitos,Nasa,#SOSColombiaDDHH en colombia nos están matando
AlemarDuMe89,,Todos los vídeos de las violaciones de los DDHH por parte de la policía y el ESMAD están aquí:… https://t.co/8TKEgxuDvr
camilo_blla,,"#SOSColombiaDDHH el miedo era ser como Venezuela, ahora estamos peor."
LYayaOrtiz,Bogota,Nadie pide nada regalado lo que queremos son oportunidades para salir adelante #SOSColombiaDDHH
pjiminpalet,,.@ONU_es: Intervenga YA para detener las violaciones a los derechos humanos promovida por el Gobierno Colombiano… https://t.co/YpHFY3nt2l
nuncaazul,Vivo en la luna ,"VAMOS TODOS AL LIVE DE YOUTUBE DE LA ONU YA MISMO!!! A COMENTAR  🇨🇴S. O. S  C O L O M B I A🇨🇴

YAYAYAYA:… https://t.co/uKZWXui6zc"
AlexisRueda20,Colombia,#SOSColombiaDDHH nos están matando
Alejand33311692,,Por favor ayúdenos nos están matando #SOSColombiaDDHH
Han38698410,,"@PabliOrtiz26 @AnonymousOpCOL ASÍ NO SEAN DE COLOMBIA, COPIEN Y PEGUEN
 @ONU_es
@onucolombia 
@ONU_derechos
@CIDH… https://t.co/07HPbmKCtX"
redcajapandora,,"@BluRadioCo @juliomario55555 #URGENTE #SOSColombiaDDHH #Colombiaprotestas #NOSESTANMATANDO #SOSCali siloe
telesur… https://t.co/Qc6JMyeGPV"
Leslye05322806,🇲🇽,"❗Por favor firmen, no les toma nada de tiempo ❗ 

.@ONU_es: Intervenga YA para detener las violaciones a los derech… https://t.co/pJrTfCD85M"
hobi_18_03,,"ASÍ NO SEAN DE COLOMBIA, COPIEN Y PEGUEN
En Colombia estan pasando cosas muy feas. En este momento el gobierno está… https://t.co/bqmKGSQgaN"
leamosaonetti,Colombia,"Escuchen al ""incendario"" de Petro hablándole a los manifestantes: ""Evitar la confrontación con la Policía es fundam… https://t.co/d1iObo47bM"
JUANCAELBROKY,Colombia,Ayer en barrio Fátima en Manizales iban matrimonios de Policías y ESMAD en moto disparando a los civiles. La persec… https://t.co/Qrs8LVZuV3
hpotter071,,"#SOSColombiaDDHH Ayuda en Colombia por favor. Nos están matando, la masacre sigue. Fuera Iván Duque #Anonymus"
takisrojos_cris,"Guanajuato, México","Sin importar que no sean de México o de Colombia, copien y peguen. Duele ver todo lo que está pasando por culpa de… https://t.co/AjdrgiWgB5"
darysz_,,"Están en vivo en el parque san Pío Bucaramanga!!!!🆘
#SOSColombiaDDHH #SOSColombiaNosEstanMatando https://t.co/Z3eQFUAS8O"
chaexotic0,,Justamente ahora estoy llorando te recordaremos como la mejor Namjoon biased diste todo de ti por tu familia estoy… https://t.co/JRVv0VFoH4
